usertype,route,num_trips,duration
Subscriber,W 52 St & 5 Ave to W 33 St & 7 Ave,76,11.03
Subscriber,W 52 St & 5 Ave to E 52 St & 2 Ave,68,8.22
Subscriber,W 52 St & 5 Ave to Broadway & W 32 St,53,9.98
Subscriber,W 52 St & 5 Ave to W 37 St & 5 Ave,33,7.36
Subscriber,W 52 St & 5 Ave to E 58 St & 3 Ave,28,6.48
Subscriber,W 52 St & 5 Ave to Broadway & W 58 St,28,8.32
Subscriber,W 52 St & 5 Ave to Broadway & W 49 St,26,5.62
Subscriber,W 52 St & 5 Ave to E 53 St & Lexington Ave,26,5.13
Subscriber,W 52 St & 5 Ave to E 84 St & Park Ave,23,14.93
Subscriber,W 52 St & 5 Ave to E 55 St & 2 Ave,22,6.65
Subscriber,W 52 St & 5 Ave to Broadway & W 51 St,21,6.83
Subscriber,W 52 St & 5 Ave to W 54 St & 9 Ave,20,8.16
Subscriber,W 52 St & 5 Ave to W 43 St & 6 Ave,17,5.96
Subscriber,W 52 St & 5 Ave to 11 Ave & W 59 St,16,10.32
Subscriber,W 52 St & 5 Ave to Broadway & W 53 St,16,6.71
Subscriber,W 52 St & 5 Ave to 1 Ave & E 68 St,16,11.86
Subscriber,W 52 St & 5 Ave to W 56 St & 10 Ave,14,9.55
Subscriber,W 52 St & 5 Ave to W 43 St & 10 Ave,13,14.5
Subscriber,W 52 St & 5 Ave to E 56 St & 3 Ave,13,6.38
Subscriber,W 52 St & 5 Ave to E 33 St & 2 Ave,13,12.35
Customer,W 52 St & 5 Ave to Broadway & W 49 St,13,24.71
Subscriber,W 52 St & 5 Ave to E 37 St & Lexington Ave,12,8.95
Subscriber,W 52 St & 5 Ave to E 48 St & 5 Ave,11,2.68
Subscriber,W 52 St & 5 Ave to E 85 St & 3 Ave,10,19.9
Subscriber,W 52 St & 5 Ave to E 45 St & 3 Ave,10,7.71
Subscriber,W 52 St & 5 Ave to E 30 St & Park Ave S,10,13.99
Subscriber,W 52 St & 5 Ave to W 25 St & 6 Ave,10,11.89
Subscriber,W 52 St & 5 Ave to Lexington Ave & E 24 St,10,16.33
Subscriber,W 52 St & 5 Ave to W 59 St & 10 Ave,9,11.23
Subscriber,W 52 St & 5 Ave to E 55 St & 3 Ave,9,6.31
Subscriber,W 52 St & 5 Ave to 3 Ave & E 62 St,8,8.77
Subscriber,W 52 St & 5 Ave to Columbus Ave & W 72 St,8,14.99
Subscriber,W 52 St & 5 Ave to Broadway & E 14 St,8,16.37
Subscriber,W 52 St & 5 Ave to W 15 St & 7 Ave,8,19.25
Subscriber,W 52 St & 5 Ave to Lafayette St & E 8 St,8,20.53
Subscriber,W 52 St & 5 Ave to W 42 St & Dyer Ave,8,10.35
Subscriber,W 52 St & 5 Ave to W 26 St & 10 Ave,8,18.03
Subscriber,W 52 St & 5 Ave to University Pl & E 8 St,7,21.2
Subscriber,W 52 St & 5 Ave to E 59 St & Sutton Pl,7,9.54
Subscriber,W 52 St & 5 Ave to W 20 St & 11 Ave,7,23.18
Subscriber,W 52 St & 5 Ave to Lexington Ave & E 29 St,7,11.54
Subscriber,W 52 St & 5 Ave to E 67 St & Park Ave,7,10.85
Subscriber,W 52 St & 5 Ave to E 13 St & Avenue A,7,24.61
Subscriber,W 52 St & 5 Ave to Central Park West & W 68 St,6,11.1
Subscriber,W 52 St & 5 Ave to W 27 St & 7 Ave,6,19.06
Subscriber,W 52 St & 5 Ave to 8 Ave & W 31 St,6,14.7
Subscriber,W 52 St & 5 Ave to W 76 St & Columbus Ave,6,18.68
Subscriber,W 52 St & 5 Ave to Washington Pl & Broadway,6,21.05
Subscriber,W 52 St & 5 Ave to W 20 St & 7 Ave,6,13.35
Subscriber,W 52 St & 5 Ave to MacDougal St & Prince St,5,23.41
Customer,W 52 St & 5 Ave to Broadway & W 58 St,5,33.7
Subscriber,W 52 St & 5 Ave to Amsterdam Ave & W 82 St,5,17.28
Subscriber,W 52 St & 5 Ave to Queens Plaza North & Crescent St,5,17.74
Subscriber,W 52 St & 5 Ave to 1 Ave & E 18 St,5,24.15
Subscriber,W 52 St & 5 Ave to W 22 St & 8 Ave,5,18.15
Customer,W 52 St & 5 Ave to Central Park West & W 72 St,4,24.4
Customer,W 52 St & 5 Ave to E 30 St & Park Ave S,4,17.73
Subscriber,W 52 St & 5 Ave to Lafayette St & Jersey St,4,23.97
Customer,W 52 St & 5 Ave to W 43 St & 6 Ave,4,14.81
Subscriber,W 52 St & 5 Ave to Pearl St & Hanover Square,4,35.32
Subscriber,W 52 St & 5 Ave to E 11 St & 2 Ave,4,19.55
Subscriber,W 52 St & 5 Ave to Central Park West & W 72 St,4,14.44
Subscriber,W 52 St & 5 Ave to Cleveland Pl & Spring St,4,20.87
Subscriber,W 52 St & 5 Ave to E 72 St & Park Ave,4,10
Subscriber,W 52 St & 5 Ave to Central Park West & W 85 St,4,18.38
Subscriber,W 52 St & 5 Ave to E 77 St & 3 Ave,3,14.44
Subscriber,W 52 St & 5 Ave to W 78 St & Broadway,3,14.65
Subscriber,W 52 St & 5 Ave to E 81 St & 3 Ave,3,18.38
Subscriber,W 52 St & 5 Ave to E 58 St & 1 Ave,3,12.13
Customer,W 52 St & 5 Ave to W 25 St & 6 Ave,3,13.62
Subscriber,W 52 St & 5 Ave to E 3 St & 1 Ave,3,25.99
Customer,W 52 St & 5 Ave to W 20 St & 7 Ave,3,23.16
Subscriber,W 52 St & 5 Ave to 10 Ave & W 28 St,3,25.52
Subscriber,W 52 St & 5 Ave to E 11 St & 1 Ave,3,18.24
Subscriber,W 52 St & 5 Ave to Sullivan St & Washington Sq,3,18.52
Customer,W 52 St & 5 Ave to Broadway & W 51 St,3,53.68
Subscriber,W 52 St & 5 Ave to W 82 St & Central Park West,3,19.74
Customer,W 52 St & 5 Ave to Broadway & E 14 St,3,26.89
Customer,W 52 St & 5 Ave to Broadway & W 32 St,3,13.19
Subscriber,W 52 St & 5 Ave to St James Pl & Oliver St,3,30.54
Subscriber,W 52 St & 5 Ave to Mercer St & Bleecker St,3,18.04
Subscriber,W 52 St & 5 Ave to E 27 St & 1 Ave,3,15.35
Customer,W 52 St & 5 Ave to W 26 St & 8 Ave,2,23.95
Subscriber,W 52 St & 5 Ave to E 80 St & 2 Ave,2,18.1
Customer,W 52 St & 5 Ave to E 52 St & 2 Ave,2,4.93
Customer,W 52 St & 5 Ave to E 37 St & Lexington Ave,2,11.01
Customer,W 52 St & 5 Ave to E 53 St & Lexington Ave,2,4.73
Subscriber,W 52 St & 5 Ave to Allen St & E Houston St,2,25.51
Subscriber,W 52 St & 5 Ave to Allen St & Hester St,2,31.5
Subscriber,W 52 St & 5 Ave to Lexington Ave & E 26 St,2,15.53
Customer,W 52 St & 5 Ave to 5 Ave & E 88 St,2,19.4
Customer,W 52 St & 5 Ave to 1 Ave & E 68 St,2,14.1
Subscriber,W 52 St & 5 Ave to Greenwich St & N Moore St,2,31.83
Customer,W 52 St & 5 Ave to W 37 St & 5 Ave,2,13.16
Subscriber,W 52 St & 5 Ave to E 40 St & Madison Ave,2,7.98
Subscriber,W 52 St & 5 Ave to Bank St & Hudson St,2,17.46
Customer,W 52 St & 5 Ave to W 26 St & 10 Ave,2,17.92
Subscriber,W 52 St & 5 Ave to Elizabeth St & Hester St,2,35.57
Customer,W 52 St & 5 Ave to W 29 St & 9 Ave,2,16.83
Subscriber,W 52 St & 5 Ave to W 87 St  & Amsterdam Ave,2,18.07
Customer,W 52 St & 5 Ave to W 27 St & 7 Ave,2,30.23
Subscriber,W 52 St & 5 Ave to Franklin St & W Broadway,2,29.56
Subscriber,W 52 St & 5 Ave to Center BlvdÂ & Borden Ave,1,24.07
Subscriber,W 52 St & 5 Ave to Pier 40 - Hudson River Park,1,29.12
Subscriber,W 52 St & 5 Ave to W 100 St & Broadway,1,24.2
Customer,W 52 St & 5 Ave to E 56 St & 3 Ave,1,24.63
Customer,W 52 St & 5 Ave to E 72 St & Park Ave,1,7.65
Customer,W 52 St & 5 Ave to Cleveland Pl & Spring St,1,33.85
Customer,W 52 St & 5 Ave to Allen St & Rivington St,1,25.22
Subscriber,W 52 St & 5 Ave to Carlton Ave & Flushing Ave,1,33.52
Subscriber,W 52 St & 5 Ave to Barclay St & Church St,1,60.32
Subscriber,W 52 St & 5 Ave to W 29 St & 9 Ave,1,15.23
Subscriber,W 52 St & 5 Ave to Greenwich St & North Moore St,1,20.83
Subscriber,W 52 St & 5 Ave to Bayard St & Baxter St,1,21.9
Customer,W 52 St & 5 Ave to Washington Pl & Broadway,1,24
Subscriber,W 52 St & 5 Ave to E 68 St & 3 Ave,1,12.75
Subscriber,W 52 St & 5 Ave to E 67 St & Lexington Ave,1,31.85
Subscriber,W 52 St & 5 Ave to Suffolk St & Stanton St,1,21.5
Customer,W 52 St & 5 Ave to Fulton St & Rockwell Pl,1,20.3
Subscriber,W 52 St & 5 Ave to E 76 St & Park Ave,1,10.35
Subscriber,W 52 St & 5 Ave to Maiden Ln & Pearl St,1,42.3
Subscriber,W 52 St & 5 Ave to Lawrence St & Willoughby St,1,16.12
Customer,W 52 St & 5 Ave to E 85 St & 3 Ave,1,22.97
Customer,W 52 St & 5 Ave to W 54 St & 9 Ave,1,6.93
Customer,W 52 St & 5 Ave to W 56 St & 10 Ave,1,20.13
Subscriber,W 52 St & 5 Ave to W 13 St & Hudson St,1,19.03
Subscriber,W 52 St & 5 Ave to W 26 St & 8 Ave,1,17.35
Customer,W 52 St & 5 Ave to W 33 St & 7 Ave,1,17.77
Subscriber,W 52 St & 5 Ave to W 87 St & West End Ave,1,42.37
Customer,W 52 St & 5 Ave to W 78 St & Broadway,1,22.22
Subscriber,W 52 St & 5 Ave to Duane St & Greenwich St,1,34.83
Subscriber,W 52 St & 5 Ave to E 61 St & Park Ave,1,6.7
Customer,W 52 St & 5 Ave to W 59 St & 10 Ave,1,15.73
Customer,W 52 St & 5 Ave to Central Park West & W 68 St,1,16.58
Subscriber,W 52 St & 5 Ave to E 6 St & Avenue B,1,23.18
Subscriber,W 52 St & 5 Ave to E 91 St & Park Ave,1,14.77
Customer,W 52 St & 5 Ave to E 81 St & 3 Ave,1,16.5
Subscriber,W 52 St & 5 Ave to W 27 St & 10 Ave,1,11.65
Subscriber,W 52 St & 5 Ave to Allen St & Rivington St,1,30.72
Subscriber,W 52 St & 5 Ave to Pitt St & Stanton St,1,31.05
Subscriber,W 52 St & 5 Ave to N 8 St & Driggs Ave,1,40
Subscriber,W 52 St & 5 Ave to E 71 St & 2 Ave,1,14.7
Customer,W 52 St & 5 Ave to Barclay St & Church St,1,52.02
Subscriber,W 52 St & 5 Ave to Riverside Dr & W 72 St,1,18.3
Customer,W 52 St & 5 Ave to Greenwich St & N Moore St,1,40.7
Subscriber,W 52 St & 5 Ave to 9 Ave & W 28 St,1,22.28
Subscriber,W 52 St & 5 Ave to Central Park West & W 100 St,1,21.98
Customer,W 52 St & 5 Ave to Lexington Ave & E 26 St,1,16.57
Subscriber,W 52 St & 5 Ave to Forsyth St & Canal St,1,43.38
Subscriber,W 52 St & 5 Ave to Clinton St & Tillary St,1,45.42
Customer,W 52 St & 5 Ave to E 84 St & Park Ave,1,15.58
Customer,W 52 St & 5 Ave to Bank St & Hudson St,1,34.77
Customer,W 52 St & 5 Ave to E 58 St & 3 Ave,1,8.62
Subscriber,W 52 St & 5 Ave to 48 Ave & 5 St,1,20.95
Customer,W 52 St & 5 Ave to Lafayette St & E 8 St,1,246.82
Subscriber,W 52 St & 5 Ave to Fulton St & Rockwell Pl,1,41.73
Subscriber,W 52 St & 5 Ave to Division St & Bowery,1,37.85
Subscriber,W 52 St & 5 Ave to Metropolitan Ave & Bedford Ave,1,33.07
Customer,W 52 St & 5 Ave to E 48 St & 5 Ave,1,10.87
Subscriber,W 52 St & 5 Ave to Central Park West & W 102 St,1,21.8
Customer,W 52 St & 5 Ave to E 11 St & 1 Ave,1,29.45
